As_of_date,city,date,high_c,high_f,low_c,low_f,rain_in,rain_mm
2014-09-14,New_York,2014-09-14,21,71,13,55,0.0,0
2014-09-14,New_York,2014-09-15,23,73,17,63,0.07,2
2014-09-14,New_York,2014-09-16,23,74,12,54,0.07,2
2014-09-14,New_York,2014-09-17,23,73,13,56,0.0,0
2014-09-14,New_York,2014-09-18,23,74,12,54,0.0,0
2014-09-14,New_York,2014-09-19,21,70,14,57,0.0,0
2014-09-14,New_York,2014-09-20,23,73,16,61,0.0,0
2014-09-14,New_York,2014-09-21,27,80,17,63,0.0,0
2014-09-14,New_York,2014-09-22,25,77,14,57,0.0,0
2014-09-14,New_York,2014-09-23,24,76,13,55,0.0,0
2014-09-14,Washington,2014-09-14,25,78,15,59,0.0,0
2014-09-14,Washington,2014-09-15,26,78,18,64,0.01,0
2014-09-14,Washington,2014-09-16,25,77,13,56,0.0,0
2014-09-14,Washington,2014-09-17,24,76,14,58,0.0,0
2014-09-14,Washington,2014-09-18,25,77,13,55,0.0,0
2014-09-14,Washington,2014-09-19,24,75,14,57,0.0,0
2014-09-14,Washington,2014-09-20,25,77,16,60,0.0,0
2014-09-14,Washington,2014-09-21,29,84,18,64,0.0,0
2014-09-14,Washington,2014-09-22,27,81,16,60,0.0,0
2014-09-14,Washington,2014-09-23,26,79,14,57,0.0,0
2014-09-14,Liverpool,2014-09-15,19,67,12,53,0.0,0
2014-09-14,Liverpool,2014-09-16,22,71,11,52,0.0,0
2014-09-14,Liverpool,2014-09-17,21,70,14,58,0.0,0
2014-09-14,Liverpool,2014-09-18,22,72,13,56,0.0,0
2014-09-14,Liverpool,2014-09-19,22,72,13,56,0.0,0
2014-09-14,Liverpool,2014-09-20,20,68,13,55,0.0,0
2014-09-14,Liverpool,2014-09-21,19,66,11,51,0.0,0
2014-09-14,Liverpool,2014-09-22,18,65,11,51,0.0,0
2014-09-14,Liverpool,2014-09-23,18,64,10,50,0.04,1
2014-09-14,Liverpool,2014-09-24,17,63,10,50,0.14,4
2014-09-14,Alpharetta,2014-09-14,21,71,19,66,0.0,0
2014-09-14,Alpharetta,2014-09-15,28,82,19,67,0.27,7
2014-09-14,Alpharetta,2014-09-16,29,85,17,63,0.0,0
2014-09-14,Alpharetta,2014-09-17,27,81,17,62,0.0,0
2014-09-14,Alpharetta,2014-09-18,26,79,17,62,0.02,1
2014-09-14,Alpharetta,2014-09-19,26,79,15,59,0.0,0
2014-09-14,Alpharetta,2014-09-20,27,80,15,59,0.0,0
2014-09-14,Alpharetta,2014-09-21,28,82,17,62,0.0,0
2014-09-14,Alpharetta,2014-09-22,29,84,16,61,0.0,0
2014-09-14,Alpharetta,2014-09-23,29,84,17,62,0.0,0
2014-09-14,Toms_River,2014-09-14,23,75,9,49,0.0,0
2014-09-14,Toms_River,2014-09-15,22,72,16,60,0.06,2
2014-09-14,Toms_River,2014-09-16,23,74,11,51,0.08,2
2014-09-14,Toms_River,2014-09-17,23,73,11,52,0.0,0
2014-09-14,Toms_River,2014-09-18,23,73,13,55,0.0,0
2014-09-14,Toms_River,2014-09-19,20,68,13,56,0.0,0
2014-09-14,Toms_River,2014-09-20,22,72,16,61,0.0,0
2014-09-14,Toms_River,2014-09-21,26,78,17,62,0.0,0
2014-09-14,Toms_River,2014-09-22,25,77,14,57,0.0,0
2014-09-14,Toms_River,2014-09-23,22,72,13,55,0.0,0
2014-09-14,Sydney,2014-09-15,19,66,15,59,0.0,0
2014-09-14,Sydney,2014-09-16,23,74,13,55,0.0,0
2014-09-14,Sydney,2014-09-17,22,71,10,50,0.0,0
2014-09-14,Sydney,2014-09-18,19,67,10,50,0.0,0
2014-09-14,Sydney,2014-09-19,17,62,10,50,0.0,0
2014-09-14,Sydney,2014-09-20,18,64,11,52,0.0,0
2014-09-14,Sydney,2014-09-21,18,64,12,53,0.02,1
2014-09-14,Sydney,2014-09-22,18,64,12,53,0.04,1
2014-09-14,Sydney,2014-09-23,19,67,13,55,0.0,0
2014-09-14,Sydney,2014-09-24,21,70,14,57,0.0,0
2014-09-14,New_York,2014-09-14,21,71,13,55,0.0,0
2014-09-14,New_York,2014-09-15,23,73,17,63,0.07,2
2014-09-14,New_York,2014-09-16,23,74,12,54,0.07,2
2014-09-14,New_York,2014-09-17,23,73,13,56,0.0,0
2014-09-14,New_York,2014-09-18,23,74,12,54,0.0,0
2014-09-14,New_York,2014-09-19,21,70,14,57,0.0,0
2014-09-14,New_York,2014-09-20,23,73,16,61,0.0,0
2014-09-14,New_York,2014-09-21,27,80,17,63,0.0,0
2014-09-14,New_York,2014-09-22,25,77,14,57,0.0,0
2014-09-14,New_York,2014-09-23,24,76,13,55,0.0,0
2014-09-14,Washington,2014-09-14,25,78,15,59,0.0,0
2014-09-14,Washington,2014-09-15,26,78,18,64,0.01,0
2014-09-14,Washington,2014-09-16,25,77,13,56,0.0,0
2014-09-14,Washington,2014-09-17,24,76,14,58,0.0,0
2014-09-14,Washington,2014-09-18,25,77,13,55,0.0,0
2014-09-14,Washington,2014-09-19,24,75,14,57,0.0,0
2014-09-14,Washington,2014-09-20,25,77,16,60,0.0,0
2014-09-14,Washington,2014-09-21,29,84,18,64,0.0,0
2014-09-14,Washington,2014-09-22,27,81,16,60,0.0,0
2014-09-14,Washington,2014-09-23,26,79,14,57,0.0,0
2014-09-14,Liverpool,2014-09-15,19,67,12,53,0.0,0
2014-09-14,Liverpool,2014-09-16,22,71,11,52,0.0,0
2014-09-14,Liverpool,2014-09-17,21,70,14,58,0.0,0
2014-09-14,Liverpool,2014-09-18,22,72,13,56,0.0,0
2014-09-14,Liverpool,2014-09-19,22,72,13,56,0.0,0
2014-09-14,Liverpool,2014-09-20,20,68,13,55,0.0,0
2014-09-14,Liverpool,2014-09-21,19,66,11,51,0.0,0
2014-09-14,Liverpool,2014-09-22,18,65,11,51,0.0,0
2014-09-14,Liverpool,2014-09-23,18,64,10,50,0.04,1
2014-09-14,Liverpool,2014-09-24,17,63,10,50,0.14,4
2014-09-14,Alpharetta,2014-09-14,21,71,19,66,0.0,0
2014-09-14,Alpharetta,2014-09-15,28,82,19,67,0.27,7
2014-09-14,Alpharetta,2014-09-16,29,85,17,63,0.0,0
2014-09-14,Alpharetta,2014-09-17,27,81,17,62,0.0,0
2014-09-14,Alpharetta,2014-09-18,26,79,17,62,0.02,1
2014-09-14,Alpharetta,2014-09-19,26,79,15,59,0.0,0
2014-09-14,Alpharetta,2014-09-20,27,80,15,59,0.0,0
2014-09-14,Alpharetta,2014-09-21,28,82,17,62,0.0,0
2014-09-14,Alpharetta,2014-09-22,29,84,16,61,0.0,0
2014-09-14,Alpharetta,2014-09-23,29,84,17,62,0.0,0
2014-09-14,Toms_River,2014-09-14,23,75,9,49,0.0,0
2014-09-14,Toms_River,2014-09-15,22,72,16,60,0.06,2
2014-09-14,Toms_River,2014-09-16,23,74,11,51,0.08,2
2014-09-14,Toms_River,2014-09-17,23,73,11,52,0.0,0
2014-09-14,Toms_River,2014-09-18,23,73,13,55,0.0,0
2014-09-14,Toms_River,2014-09-19,20,68,13,56,0.0,0
2014-09-14,Toms_River,2014-09-20,22,72,16,61,0.0,0
2014-09-14,Toms_River,2014-09-21,26,78,17,62,0.0,0
2014-09-14,Toms_River,2014-09-22,25,77,14,57,0.0,0
2014-09-14,Toms_River,2014-09-23,22,72,13,55,0.0,0
2014-09-14,Sydney,2014-09-15,19,66,15,59,0.0,0
2014-09-14,Sydney,2014-09-16,23,74,13,55,0.0,0
2014-09-14,Sydney,2014-09-17,22,71,10,50,0.0,0
2014-09-14,Sydney,2014-09-18,19,67,10,50,0.0,0
2014-09-14,Sydney,2014-09-19,17,62,10,50,0.0,0
2014-09-14,Sydney,2014-09-20,18,64,11,52,0.0,0
2014-09-14,Sydney,2014-09-21,18,64,12,53,0.02,1
2014-09-14,Sydney,2014-09-22,18,64,12,53,0.04,1
2014-09-14,Sydney,2014-09-23,19,67,13,55,0.0,0
2014-09-14,Sydney,2014-09-24,21,70,14,57,0.0,0
